"","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"71","CW_S11_R2",30,60,0.0379831240684114,"COL","g",0.659359216690063,778.711669921875,5.36951112747192,0.673320829868317,62,0.733931660652161,-0.541872918605804,0.302373260259628,0.608889997005463,0.314868092536926,0.145390912890434,0.597729742527008,1.67299687862396,0.383911699056625,0.251776158809662,-0.638679325580597,"continental glacial outwash, Fraser-age","Pleistocene"
"72","CW_S11_R2",60,100,0.0113502973749081,"COL","g",0.659359216690063,778.711669921875,5.36951112747192,0.673320829868317,62,0.733931660652161,-0.541872918605804,0.302373260259628,0.608889997005463,0.314868092536926,0.145390912890434,0.597729742527008,1.67299687862396,0.383911699056625,0.251776158809662,-0.638679325580597,"continental glacial outwash, Fraser-age","Pleistocene"
"73","CW_S2_R2",0,30,0.145995131830206,"COL","i",0.636235237121582,778.711669921875,5.36951112747192,0.913423180580139,59,0.829739332199097,-0.491380840539932,0.410672605037689,0.613186717033386,0.412639617919922,-0.00293654575943947,0.399995625019073,2.50002717971802,0.389769971370697,0.428575873374939,-0.693328440189362,"continental glacial outwash, Fraser-age","Pleistocene"
"74","CW_S2_R2",30,60,0.082755746960166,"COL","i",0.636235237121582,778.711669921875,5.36951112747192,0.913423180580139,59,0.829739332199097,-0.491380840539932,0.410672605037689,0.613186717033386,0.412639617919922,-0.00293654575943947,0.399995625019073,2.50002717971802,0.389769971370697,0.428575873374939,-0.693328440189362,"continental glacial outwash, Fraser-age","Pleistocene"
"75","CW_S2_R2",60,100,0.11485447732339,"COL","i",0.636235237121582,778.711669921875,5.36951112747192,0.913423180580139,59,0.829739332199097,-0.491380840539932,0.410672605037689,0.613186717033386,0.412639617919922,-0.00293654575943947,0.399995625019073,2.50002717971802,0.389769971370697,0.428575873374939,-0.693328440189362,"continental glacial outwash, Fraser-age","Pleistocene"
"76","CW-05-R1",0,30,0.643528972288999,"COL","i",0.435706526041031,776.530090332031,5.19560813903809,0.85196715593338,60,0.814382135868073,-0.504587173461914,0.401056855916977,0.642680466175079,0.402812421321869,0.0602375604212284,0.487145245075226,2.05277585983276,0.384584158658981,0.344858556985855,-0.671450018882751,"continental glacial till, Fraser-age","Pleistocene"
"77","CW-05-R1",30,60,0.53048120828359,"COL","i",0.435706526041031,776.530090332031,5.19560813903809,0.85196715593338,60,0.814382135868073,-0.504587173461914,0.401056855916977,0.642680466175079,0.402812421321869,0.0602375604212284,0.487145245075226,2.05277585983276,0.384584158658981,0.344858556985855,-0.671450018882751,"continental glacial till, Fraser-age","Pleistocene"
"78","CW-05-R1",60,100,0.5081891212846,"COL","i",0.435706526041031,776.530090332031,5.19560813903809,0.85196715593338,60,0.814382135868073,-0.504587173461914,0.401056855916977,0.642680466175079,0.402812421321869,0.0602375604212284,0.487145245075226,2.05277585983276,0.384584158658981,0.344858556985855,-0.671450018882751,"continental glacial till, Fraser-age","Pleistocene"
"79","CW-10-R1",0,30,0.151499456056984,"COL","i",0.632822155952454,594.417053222656,7.34327697753906,0.750328600406647,49,0.801433861255646,-0.514049708843231,0.433760076761246,0.646890997886658,0.425466299057007,0.114697635173798,0.508588433265686,1.96622633934021,0.344707906246185,0.325742602348328,-0.656756460666656,"continental glacial outwash, Fraser-age","Pleistocene"
"80","CW-10-R1",30,60,0.0387003008316811,"COL","i",0.632822155952454,594.417053222656,7.34327697753906,0.750328600406647,49,0.801433861255646,-0.514049708843231,0.433760076761246,0.646890997886658,0.425466299057007,0.114697635173798,0.508588433265686,1.96622633934021,0.344707906246185,0.325742602348328,-0.656756460666656,"continental glacial outwash, Fraser-age","Pleistocene"
