"","X","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"76",76,"H-C-11R2-TNC",30,100,0.225495833418415,"HOH","g",0.658542096614838,3142.3125,9.99057960510254,0.435542047023773,65.7863388061523,0.893795192241669,-0.459746181964874,0.504135310649872,0.660102427005768,0.494760751724243,-0.15374194085598,0.282706141471863,3.5373318195343,0.496667325496674,0.55920547246933,-0.759490132331848,"alluvium","Quaternary"
"77",77,"H-C-14-2020",0,30,0.389556868838241,"HOH","f",0.630275130271912,3221.375,9.83203411102295,0.203204870223999,24.9573993682861,0.63168054819107,-0.617298662662506,0.376066744327545,0.607640147209167,0.391405075788498,0.315615028142929,0.878872513771057,1.14131987094879,0.383289307355881,0.0651988834142685,-0.642629742622375,"alpine glacial drift, Fraser-age","Pleistocene"
"78",78,"H-C-14-2020",30,100,0.15728734925981,"HOH","f",0.630275130271912,3221.375,9.83203411102295,0.203204870223999,24.9573993682861,0.63168054819107,-0.617298662662506,0.376066744327545,0.607640147209167,0.391405075788498,0.315615028142929,0.878872513771057,1.14131987094879,0.383289307355881,0.0651988834142685,-0.642629742622375,"alpine glacial drift, Fraser-age","Pleistocene"
"79",79,"H-C-16-TNC",0,30,0.521709715834636,"HOH","e",0.892810344696045,3276.5419921875,9.87406349182129,0.107578314840794,58.1674919128418,0.914534151554108,-0.512961745262146,0.634110450744629,0.729421615600586,0.594743311405182,-0.0868052169680595,0.289667725563049,3.45437264442444,0.477190226316452,0.550835847854614,-0.779573500156403,"alpine glacial drift, Fraser-age","Pleistocene"
"80",80,"H-C-16-TNC",30,100,0.337763522042657,"HOH","e",0.892810344696045,3276.5419921875,9.87406349182129,0.107578314840794,58.1674919128418,0.914534151554108,-0.512961745262146,0.634110450744629,0.729421615600586,0.594743311405182,-0.0868052169680595,0.289667725563049,3.45437264442444,0.477190226316452,0.550835847854614,-0.779573500156403,"alpine glacial drift, Fraser-age","Pleistocene"
"81",81,"H-C-19-DNR",0,30,0.716326278400632,"HOH","i",0.686154127120972,3197.30517578125,9.84579086303711,0.230313271284103,60.3808670043945,0.91474187374115,-0.494743376970291,0.543903052806854,0.715389549732208,0.52947199344635,-0.111941047012806,0.276690781116486,3.6147837638855,0.547749102115631,0.566563308238983,-0.786404192447662,"alpine glacial drift, Fraser-age","Pleistocene"
"82",82,"H-C-19-DNR",30,100,0.461465600662115,"HOH","i",0.686154127120972,3197.30517578125,9.84579086303711,0.230313271284103,60.3808670043945,0.91474187374115,-0.494743376970291,0.543903052806854,0.715389549732208,0.52947199344635,-0.111941047012806,0.276690781116486,3.6147837638855,0.547749102115631,0.566563308238983,-0.786404192447662,"alpine glacial drift, Fraser-age","Pleistocene"
"83",83,"H-C-23-2020",0,30,0.160958516086146,"HOH","e",0.703307628631592,3192.18774414062,9.88532829284668,0.127734959125519,69.5080795288086,0.891958355903625,-0.5130814909935,0.482521921396255,0.692715764045715,0.481256991624832,-0.0670251101255417,0.315567702054977,3.16903448104858,0.556774079799652,0.520260155200958,-0.76812082529068,"alpine glacial till, Fraser-age","Pleistocene"
"84",84,"H-C-23-2020",30,100,0.137245197423949,"HOH","e",0.703307628631592,3192.18774414062,9.88532829284668,0.127734959125519,69.5080795288086,0.891958355903625,-0.5130814909935,0.482521921396255,0.692715764045715,0.481256991624832,-0.0670251101255417,0.315567702054977,3.16903448104858,0.556774079799652,0.520260155200958,-0.76812082529068,"alpine glacial till, Fraser-age","Pleistocene"
"85",85,"H-C-28-DNR",0,30,0.714461537832612,"HOH","f",0.70281708240509,3136.7744140625,10.070897102356,0.218867480754852,71.7420883178711,0.633338630199432,-0.594834387302399,0.346649944782257,0.627798855304718,0.357542246580124,0.293868005275726,0.887797355651855,1.21460771560669,0.365040063858032,0.072471596300602,-0.646521389484406,"alpine glacial drift, Fraser-age","Pleistocene"
"86",86,"H-C-28-DNR",30,100,0.442020091389352,"HOH","f",0.70281708240509,3136.7744140625,10.070897102356,0.218867480754852,71.7420883178711,0.633338630199432,-0.594834387302399,0.346649944782257,0.627798855304718,0.357542246580124,0.293868005275726,0.887797355651855,1.21460771560669,0.365040063858032,0.072471596300602,-0.646521389484406,"alpine glacial drift, Fraser-age","Pleistocene"
