"","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","NDYI","Geomorphon_Class","WIP","Temp","Precip","NDVI","SCI","MNDWI","EVI","GEOLOGIC_AGE","x","y"
"123","H-C-01-DNR-WET",15,30,1.74786541693652,"HOH",0.54286551259576,10,0.872516082794238,10.164982484552,3070.46656282113,0.840120886299533,0.649201225862464,-0.477296790521722,0.454909126986311,"Pleistocene",411350.04861576,5295086.0286791
"124","H-C-01-DNR-WET",30,60,2.05403953252018,"HOH",0.54286551259576,10,0.872516082794238,10.164982484552,3070.46656282113,0.840120886299533,0.649201225862464,-0.477296790521722,0.454909126986311,"Pleistocene",411350.04861576,5295086.0286791
"125","H-C-01-DNR-WET",60,100,0.812121686001362,"HOH",0.54286551259576,10,0.872516082794238,10.164982484552,3070.46656282113,0.840120886299533,0.649201225862464,-0.477296790521722,0.454909126986311,"Pleistocene",411350.04861576,5295086.0286791
"126","H-C-02-DNR",0,15,0.750807824311735,"HOH",0.579291005517333,10,0.896369191143302,10.1992228132598,3054.49066602279,0.862267429169104,0.648463636710994,-0.445614081009817,0.533613545848987,"Pleistocene",409931.027860385,5294415.24997051
"127","H-C-02-DNR",15,30,0.716722013364489,"HOH",0.579291005517333,10,0.896369191143302,10.1992228132598,3054.49066602279,0.862267429169104,0.648463636710994,-0.445614081009817,0.533613545848987,"Pleistocene",409931.027860385,5294415.24997051
"128","H-C-02-DNR",30,60,0.257316268233673,"HOH",0.579291005517333,10,0.896369191143302,10.1992228132598,3054.49066602279,0.862267429169104,0.648463636710994,-0.445614081009817,0.533613545848987,"Pleistocene",409931.027860385,5294415.24997051
"129","H-C-05-2020",0,15,0.153699343739777,"HOH",0.383024483558291,10,0.768495767652833,10.4094462170959,2981.12135097683,0.848048074291681,0.701793803817624,-0.591362540210581,0.63658862839383,"Quaternary",405803.044116043,5293090.83504108
"130","H-C-05-2020",15,30,0.0415282931454688,"HOH",0.383024483558291,10,0.768495767652833,10.4094462170959,2981.12135097683,0.848048074291681,0.701793803817624,-0.591362540210581,0.63658862839383,"Quaternary",405803.044116043,5293090.83504108
"131","H-C-05-2020",30,60,0.00969458113111002,"HOH",0.383024483558291,10,0.768495767652833,10.4094462170959,2981.12135097683,0.848048074291681,0.701793803817624,-0.591362540210581,0.63658862839383,"Quaternary",405803.044116043,5293090.83504108
"132","H-C-05-2020",60,100,0.0095119098549557,"HOH",0.383024483558291,10,0.768495767652833,10.4094462170959,2981.12135097683,0.848048074291681,0.701793803817624,-0.591362540210581,0.63658862839383,"Quaternary",405803.044116043,5293090.83504108
