"","sample_ID","site","depth_cm","BD_g_cm3","carbon_perc","carbon_stock_g_cm2","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"247","MCS_S3","MAS",55,0.77,5.153,0.749947176,"e",0.619249761104584,1962.04797363281,7.51048374176025,0.824085295200348,72.1352767944336,0.896810472011566,-0.433990597724915,0.461437493562698,0.676094055175781,0.456841826438904,-0.163606405258179,0.282296180725098,3.54262328147888,0.492820471525192,0.559707224369049,-0.737747073173523,"basaltic andesite flows","Oligocene-Eocene"
"248","MCS_S3","MAS",74,1.01,1.175,0.225353451,"e",0.619249761104584,1962.04797363281,7.51048374176025,0.824085295200348,72.1352767944336,0.896810472011566,-0.433990597724915,0.461437493562698,0.676094055175781,0.456841826438904,-0.163606405258179,0.282296180725098,3.54262328147888,0.492820471525192,0.559707224369049,-0.737747073173523,"basaltic andesite flows","Oligocene-Eocene"
"249","MCS_S3","MAS",115,1.13,0.419,0.194756578,"e",0.619249761104584,1962.04797363281,7.51048374176025,0.824085295200348,72.1352767944336,0.896810472011566,-0.433990597724915,0.461437493562698,0.676094055175781,0.456841826438904,-0.163606405258179,0.282296180725098,3.54262328147888,0.492820471525192,0.559707224369049,-0.737747073173523,"basaltic andesite flows","Oligocene-Eocene"
"250","MCSE_S14","MAS",9,0.15,29.482,0.392393372,"i",0.790797531604767,1839.43872070312,8.05142211914062,0.388658702373505,67.2211227416992,0.874066352844238,-0.499266117811203,0.44805234670639,0.674755036830902,0.440897911787033,-0.0389968939125538,0.343387305736542,2.9194552898407,0.41730859875679,0.489031076431274,-0.724924325942993,"volcaniclastic deposits or rocks","Oligocene-Eocene"
"251","MCSE_S14","MAS",22,0.2,19.806,0.510930721,"i",0.790797531604767,1839.43872070312,8.05142211914062,0.388658702373505,67.2211227416992,0.874066352844238,-0.499266117811203,0.44805234670639,0.674755036830902,0.440897911787033,-0.0389968939125538,0.343387305736542,2.9194552898407,0.41730859875679,0.489031076431274,-0.724924325942993,"volcaniclastic deposits or rocks","Oligocene-Eocene"
"252","MCSE_S14","MAS",47,1.01,1.034,0.195109244,"i",0.790797531604767,1839.43872070312,8.05142211914062,0.388658702373505,67.2211227416992,0.874066352844238,-0.499266117811203,0.44805234670639,0.674755036830902,0.440897911787033,-0.0389968939125538,0.343387305736542,2.9194552898407,0.41730859875679,0.489031076431274,-0.724924325942993,"volcaniclastic deposits or rocks","Oligocene-Eocene"
"253","MCSE_S14","MAS",86,1.24,0.409,0.17330008,"i",0.790797531604767,1839.43872070312,8.05142211914062,0.388658702373505,67.2211227416992,0.874066352844238,-0.499266117811203,0.44805234670639,0.674755036830902,0.440897911787033,-0.0389968939125538,0.343387305736542,2.9194552898407,0.41730859875679,0.489031076431274,-0.724924325942993,"volcaniclastic deposits or rocks","Oligocene-Eocene"
"254","MCSE_S14","MAS",140,1.31,0.761,0.269983499,"i",0.790797531604767,1839.43872070312,8.05142211914062,0.388658702373505,67.2211227416992,0.874066352844238,-0.499266117811203,0.44805234670639,0.674755036830902,0.440897911787033,-0.0389968939125538,0.343387305736542,2.9194552898407,0.41730859875679,0.489031076431274,-0.724924325942993,"volcaniclastic deposits or rocks","Oligocene-Eocene"
"255","MCSE_S15","MAS",20,0.21,32.276,1.349135631,"f",0.599874258041382,1781.53869628906,8.390700340271,0.489182949066162,69.1881408691406,0.891071557998657,-0.553734600543976,0.537228167057037,0.733934223651886,0.513736963272095,0.045711699873209,0.36772158741951,2.71995663642883,0.4466273188591,0.462306469678879,-0.76364415884018,"basaltic andesite flows","Oligocene-Eocene"
"256","MCSE_S15","MAS",45,0.64,2.542,0.409102114,"f",0.599874258041382,1781.53869628906,8.390700340271,0.489182949066162,69.1881408691406,0.891071557998657,-0.553734600543976,0.537228167057037,0.733934223651886,0.513736963272095,0.045711699873209,0.36772158741951,2.71995663642883,0.4466273188591,0.462306469678879,-0.76364415884018,"basaltic andesite flows","Oligocene-Eocene"
